park,unit_name,prop_colonizations_summer,prop_colonizations_winter,no_colonizations_summer,no_colonizations_winter,prop_extirpations_summer,prop_extirpations_winter,no_extirpations_summer,no_extirpations_winter,current_species_summer,current_species_winter,long,lat,nps_region,turnover_summer,turnover_winter
ACAD,Acadia National Park,0.0839,0.4737,12,45,0.4196,0.1263,60,12,143,95,-68.24411,44.350732,Northeast,0.3,0.2533333333
ARCH,Arches National Park,0.3,1.1628,21,50,0.2286,0.1395,16,6,70,43,-109.58635,38.722539,Intermountain,0.2517006803,0.4242424242
BADL,Badlands National Park,0.125,2,13,48,0.2981,0.0417,31,1,104,24,-102.393945,43.834002,Midwest,0.2291666667,0.5051546392
BIBE,Big Bend National Park,0.094,0.1963,11,32,0.1026,0.1288,12,21,117,163,-103.229854,29.297777,Intermountain,0.09787234043,0.1563421829
BISC,Biscayne National Park,0.3,0.2606,18,37,0.0333,0.0775,2,11,60,142,-80.210247,25.490495,Southeast,0.1449275362,0.1538461538
BLCA,Black Canyon of the Gunnison National Park,0.1209,6.1111,11,55,0.1648,0,15,0,91,9,-107.725557,38.578824,Intermountain,0.1444444444,0.7333333333
BRCA,Bryce Canyon National Park,0.099,1.2647,10,43,0.1881,0.0882,19,3,101,34,-112.182711,37.583898,Intermountain,0.1487179487,0.4181818182
CANY,Canyonlands National Park,0.3393,1.25,19,45,0.2143,0.1389,12,5,56,36,-109.876962,38.24314,Intermountain,0.2561983471,0.4385964912
CARE,Capitol Reef National Park,0.2048,2.1111,17,57,0.241,0.0741,20,2,83,27,-111.283004,38.383553,Intermountain,0.2242424242,0.5315315315
CAVE,Carlsbad Caverns National Park,0.1083,0.2,13,31,0.25,0.1226,30,19,120,155,-104.553136,32.140925,Intermountain,0.1911111111,0.1543209877
CHIS,Channel Islands National Park,0.3662,0.2126,26,27,0.1408,0.0472,10,6,71,127,-119.739651,34.016551,Pacific West,0.225,0.119133574
CONG,Congaree National Park,0.2644,0.6596,23,62,0.1954,0.1277,17,12,87,94,-80.748665,33.791868,Southeast,0.2197802198,0.3083333333
CRLA,Crater Lake National Park,0.0714,1.2963,6,35,0.0952,0,8,0,84,27,-122.132816,42.941086,Pacific West,0.08333333333,0.3846153846
CUVA,Cuyahoga Valley National Park,0.1404,0.2371,16,23,0.3246,0.1031,37,10,114,97,-81.569044,41.261236,Midwest,0.2535885167,0.1578947368
DENA,Denali National Park and Preserve,0.4651,0.8462,40,11,0.0349,0.0769,3,1,86,13,-150.734146,63.341108,Alaska,0.2037914692,0.3157894737
DEVA,Death Valley National Park,0.0833,0.2991,9,35,0.3519,0.1111,38,13,108,117,-117.132628,36.483931,Pacific West,0.2486772487,0.1860465116
