unit_name,park,nps_region,turnover_rate,class,long,lat,state,size,website_title,website,more_title,more_URL,park_description
Acadia National Park,ACAD,Northeast,0.435294118,High turnover,-68.24411,44.350732,Northeast,76.6 sq. mi.,nps.gov/acad,https://www.nps.gov/acad/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,"Maine’s Acadia National Park straddles eastern-deciduous and northern-boreal forests, attracting breeding songbirds, including nearly two-dozen warbler species, in summer. By 2050, a warming climate will likely oust many boreal songbirds, including Bay-breasted Warblers, Blackburnian Warblers, and Boreal Chickadees, into cooler forests north of the park’s borders. At the same time, Acadia’s wetlands, lakes, and coastline are poised to grow more crowded as waterbirds like the Northern Shoveler and Pied-billed Grebe skip their southbound migrations and winter in Maine instead. And Maine’s beloved Common Loon will probably stop breeding in Acadia and limit its wintertime visits. It is recommended that managers maintain wetlands and continue to track breeding warblers."
Arches National Park,ARCH,Intermountain,0.212121212,High potential colonization,-109.58635,38.722539,Intermountain,119.8 sq. mi.,nps.gov/arch,https://www.nps.gov/arch/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Badlands National Park,BADL,Midwest,0.257142857,High turnover,-102.393945,43.834002,Midwest,379.3 sq. mi.,nps.gov/badl,https://www.nps.gov/badl/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,"Best known for its rugged formations, Badlands National Park is also a birding destination for its grassland species. By 2050, hotter, drier conditions may trigger declines in grassland birds that breed there in summer, such as Upland Sandpiper, Horned Lark, and Burrowing Owl, and the Mountain Bluebird may be extirpated from the park. Meanwhile, species more adapted to the arid Great Plains, including the Mississippi Kite, Northern Bobwhite, and Scissor-tailed Flycatcher, and the Southwest, like Scaled Quail, Cassin’s Kingbird, and Chihuahuan Raven, will likely thrive within its borders. Preserving healthy grasslands will give all birds the best chance possible. "
Big Bend National Park,BIBE,Intermountain,0.128205128,Low change,-103.229854,29.297777,Intermountain,"1,252 sq. mi.",nps.gov/bibe,https://www.nps.gov/bibe/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Biscayne National Park,BISC,Southeast,0.167785235,High potential colonization,-80.210247,25.490495,Southeast,270.3 sq. mi.,nps.gov/bisc,https://www.nps.gov/bisc/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Black Canyon of the Gunnison National Park,BLCA,Intermountain,0.180487805,High potential extirpation,-107.725557,38.578824,Intermountain,48 sq. mi.,nps.gov/blca,https://www.nps.gov/blca/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Bryce Canyon National Park,BRCA,Intermountain,0.2,High potential extirpation,-112.182711,37.583898,Intermountain,56 sq. mi.,nps.gov/brca,https://www.nps.gov/brca/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Canyonlands National Park,CANY,Intermountain,0.235294118,High potential colonization,-109.876962,38.24314,Intermountain,527 sq. mi.,nps.gov/cany,https://www.nps.gov/cany/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Capitol Reef National Park,CARE,Intermountain,0.253333333,High turnover,-111.283004,38.383553,Intermountain,378 sq. mi.,nps.gov/care,https://www.nps.gov/care/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Carlsbad Caverns National Park,CAVE,Intermountain,0.142857143,Low change,-104.553136,32.140925,Intermountain,73.1 sq. mi.,nps.gov/cave,https://www.nps.gov/cave/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Channel Islands National Park,CHIS,Pacific West,0.18875502,High potential colonization,-119.739651,34.016551,Pacific West,389.9 sq. mi.,nps.gov/chis,https://www.nps.gov/chis/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Congaree National Park,CONG,Southeast,0.212765957,High potential colonization,-80.748665,33.791868,Southeast,41.1 sq. mi.,nps.gov/cong,https://www.nps.gov/cong/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Crater Lake National Park,CRLA,Pacific West,0.139534884,Low change,-122.132816,42.941086,Pacific West,286.3 sq. mi.,nps.gov/crla,https://www.nps.gov/crla/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Cuyahoga Valley National Park,CUVA,Midwest,0.282352941,High turnover,-81.569044,41.261236,Midwest,50.9 sq. mi.,nps.gov/cuva,https://www.nps.gov/cuva/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Death Valley National Park,DEVA,Pacific West,0.184834123,High potential extirpation,-117.132628,36.483931,Pacific West,"5,262 sq. mi.",nps.gov/deva,https://www.nps.gov/deva/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Denali National Park and Preserve,DENA,Alaska,0.272727273,High potential colonization,-150.734146,63.341108,Alaska,"9,445.6 sq. mi.",nps.gov/dena,https://www.nps.gov/dena/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Everglades National Park,EVER,Southeast,0.159763314,High potential colonization,-80.881824,25.372168,Southeast,"2,357 sq. mi.",nps.gov/ever,https://www.nps.gov/ever/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Gates of the Arctic National Park and Preserve,GAAR,Alaska,0.187096774,High potential colonization,-153.386903,67.869006,Alaska,"13,238 sq. mi.",nps.gov/gaar,https://www.nps.gov/gaar/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Glacier Bay National Park and Preserve,GLBA,Alaska,0.082474227,Low change,-136.81093,58.791439,Alaska,"5,037 sq. mi.",nps.gov/glba,https://www.nps.gov/glba/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Glacier National Park,GLAC,Intermountain,0.359223301,High turnover,-113.85841,48.7468,Intermountain,"1,583 sq. mi.",nps.gov/glac,https://www.nps.gov/glac/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Grand Canyon National Park,GRCA,Intermountain,0.220512821,High potential extirpation,-112.185254,36.186545,Intermountain,"1,902 sq. mi.",nps.gov/grca,https://www.nps.gov/grca/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Grand Teton National Park,GRTE,Intermountain,0.186915888,High potential extirpation,-110.705488,43.81816,Intermountain,484.4 sq. mi.,nps.gov/grte,https://www.nps.gov/grte/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Great Basin National Park,GRBA,Pacific West,0.185185185,Low change,-114.257966,38.946095,Pacific West,120.6 sq. mi.,nps.gov/grba,https://www.nps.gov/grba/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Great Sand Dunes National Park & Preserve,GRSA,Intermountain,0.203703704,High potential extirpation,-105.543442,37.86395,Intermountain,132.4 sq. mi.,nps.gov/grsa,https://www.nps.gov/grsa/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Great Smoky Mountains National Park,GRSM,Southeast,0.163636364,Low change,-83.526275,35.609275,Southeast,816 sq. mi.,nps.gov/grsm,https://www.nps.gov/grsm/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
