common_name,species,unit_name,park,es,season,climate_trend
Acadian Flycatcher,ACFL,Acadia National Park,ACAD,26,Summer,C
Acadian Flycatcher,ACFL,Acadia National Park,ACAD,85,Summer,C
Alder Flycatcher,ALFL,Acadia National Park,ACAD,26,Summer,E
Alder Flycatcher,ALFL,Acadia National Park,ACAD,85,Summer,E
American Bittern,AMBI,Acadia National Park,ACAD,26,Summer,E
American Bittern,AMBI,Acadia National Park,ACAD,85,Summer,E
American Crow,AMCR,Acadia National Park,ACAD,26,Summer,S
American Crow,AMCR,Acadia National Park,ACAD,85,Summer,W
American Goldfinch,AMGO,Acadia National Park,ACAD,26,Summer,S
American Goldfinch,AMGO,Acadia National Park,ACAD,85,Summer,S
American Redstart,AMRE,Acadia National Park,ACAD,26,Summer,E
American Redstart,AMRE,Acadia National Park,ACAD,85,Summer,E
American Robin,AMRO,Acadia National Park,ACAD,26,Summer,I
American Robin,AMRO,Acadia National Park,ACAD,85,Summer,I
Baltimore Oriole,BAOR,Acadia National Park,ACAD,26,Summer,I
Baltimore Oriole,BAOR,Acadia National Park,ACAD,85,Summer,I
Barn Swallow,BARS,Acadia National Park,ACAD,26,Summer,I
Barn Swallow,BARS,Acadia National Park,ACAD,85,Summer,I
Black-and-white Warbler,BAWW,Acadia National Park,ACAD,26,Summer,E
Black-and-white Warbler,BAWW,Acadia National Park,ACAD,85,Summer,E
Black-billed Cuckoo,BBCU,Acadia National Park,ACAD,26,Summer,S
Black-billed Cuckoo,BBCU,Acadia National Park,ACAD,85,Summer,W
Bay-breasted Warbler,BBWA,Acadia National Park,ACAD,26,Summer,E
Bay-breasted Warbler,BBWA,Acadia National Park,ACAD,85,Summer,E
Black-capped Chickadee,BCCH,Acadia National Park,ACAD,26,Summer,W
Black-capped Chickadee,BCCH,Acadia National Park,ACAD,85,Summer,W
Belted Kingfisher,BEKI,Acadia National Park,ACAD,26,Summer,S
Belted Kingfisher,BEKI,Acadia National Park,ACAD,85,Summer,S
Blue-gray Gnatcatcher,BGGN,Acadia National Park,ACAD,85,Summer,I
Brown-headed Cowbird,BHCO,Acadia National Park,ACAD,26,Summer,I
Brown-headed Cowbird,BHCO,Acadia National Park,ACAD,85,Summer,I
Blackburnian Warbler,BLBW,Acadia National Park,ACAD,26,Summer,E
Blackburnian Warbler,BLBW,Acadia National Park,ACAD,85,Summer,E
Blue Jay,BLJA,Acadia National Park,ACAD,26,Summer,I
